track_id,track_name,artist_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,is_viral
0tA3r8h5RZp9xSPrZe8fcK,"Night Is Young - From ""Descendants: Wicked World""",China Anne McClain;Disney,43,182106,0,0.781,0.608,5,-4.303,1,0.0763,0.0634,0.0,0.221,0.351,119.121,4,0
3kQhWtoluFHPbcBC6gyYrZ,Arrullo De Estrellas,Zoé,1,252986,0,0.462,0.765,5,-7.011,1,0.036,0.324,0.231,0.0757,0.399,81.513,4,0
6jiEHXIHZa65gPnkKHPGGE,Espiral de Ilusão,Criolo,24,220800,0,0.772,0.33,2,-9.51,1,0.0342,0.886,0.001,0.136,0.472,124.041,4,0
3WO8ZBnOtad3xMz46Z54pY,Blue Velvet,Bobby Vinton,50,168000,0,0.418,0.153,10,-14.484,1,0.0293,0.879,4.23e-06,0.156,0.267,80.748,4,0
1fFURkneD1D7WgBrVG062x,Heavy Disco,The Bennies,32,138280,1,0.338,0.887,7,-4.772,1,0.227,0.0482,0.0,0.336,0.233,177.85,4,0
26Dme5GkC1yX4P2QU9V6Sk,"Trio élégiaque No. 2 in D Minor, Op. 9: I. Moderato - Allegro vivace",Sergei Rachmaninoff;Talistrio,0,1371693,0,0.175,0.0869,2,-20.248,0,0.0427,0.955,0.251,0.0783,0.0345,78.113,4,0
1a8tAQAzHIPQ00OPBXGWPz,No Eyes - Radio Edit,Claptone;JAW,62,204992,0,0.93,0.483,3,-9.925,1,0.0411,0.0289,0.00244,0.103,0.57,120.022,4,0
0eei3Q3RLKtA9HkvYCQC7t,Khone Do,Prateek Kuhad,44,239360,0,0.514,0.123,10,-11.512,1,0.0379,0.851,0.0394,0.127,0.169,122.782,4,0
0JeuKT9WZT0oQINRP0BAE1,Dancing Queen,ABBA,1,231093,0,0.512,0.93,9,-4.343,1,0.0508,0.17,0.00119,0.561,0.677,100.542,4,0
6LuXPPEckUXRL0ut8SN6w8,Sweet Tooth,Tucka,35,323240,0,0.865,0.603,8,-6.356,1,0.0366,0.161,8.54e-05,0.0735,0.976,105.004,4,0
4IaNKhJpfMwzPnMMH8UK0l,Ať seš punk,Tři Sestry,38,213600,0,0.513,0.95,4,-3.979,1,0.0944,0.00367,1.47e-06,0.317,0.493,75.004,4,0
0rmGAIH9LNJewFw7nKzZnc,You Give Love A Bad Name,Bon Jovi,82,222706,0,0.541,0.96,0,-2.947,0,0.0505,0.0663,2.25e-06,0.344,0.812,122.803,4,1
3VoiRl0qG64KYMlIHz9XCv,The End of Man Will Bring Peace to This Earth,Portrayal of Guilt,23,189709,0,0.154,0.879,4,-5.583,0,0.103,0.000453,0.622,0.3,0.189,143.858,4,0
4m8QRApdIvxMERrlgigXj4,All Through the Night,Sleeping At Last,52,197804,0,0.309,0.204,3,-10.867,1,0.0397,0.949,0.0,0.127,0.289,185.309,4,0
7oo2wT4ibeCm8NIFGBDLXM,Move Around - Red Bull Symphonic,Camo & Krooked;Ian Shaw,24,219432,0,0.395,0.841,0,-4.819,0,0.0418,0.039,0.0948,0.672,0.0421,87.62,4,0
